Date : 2025-03-02 11:06:04
Directory : c:\programmering\visualstudiocodeFiles\CASproject\CASproject
Total : 53 files,  767 codes, 23 comments, 150 blanks, all 940 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Multiply.cs                                  | C#         |          4 |          1 |          1 |          6 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Power.cs                                     | C#         |          0 |          2 |          0 |          2 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Iterative\Recurse.cs                        | C#         |         11 |          0 |          2 |         13 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\Constant.cs                                            | C#         |        -20 |         -1 |         -1 |        -22 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\Function.cs                                            | C#         |          0 |          1 |          0 |          1 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\FormalFunction.cs                                  | C#         |          2 |          0 |          0 |          2 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\MathCommand.cs                                     | C#         |          1 |          0 |          0 |          1 |
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\MathObject.cs                                      | C#         |          2 |          3 |          0 |          5 |
| Total                                                                                                                              |            |        767 |         23 |        150 |        940 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
